question,answer,context_id
From the whole passage we can see that  _  .,the girl is very thankful to her father,34775
What kind of sound does the author find pleasant?,Tapping sound of his typewriter.,25189
Which is the most likely impact of the sanctions on North Korea?,not enough information,33597
What may be a fact about this person 's situation ?,None of the above choices .,40664
Dorian:,pushed a gurney,35193
Which of the following is TRUE?,Chicken soup is good if you catch a cold.,27799
What might have happened before this week .,I was unable to procure a place of employment .,28700
What did the narrator enjoy about the lunch ?,They enjoyed the beef they had .,7808
How long did the author live in the second apartment?,A few months to a few years,34617
Why did the narrator peel their scab ?,It was an eye sore .,27922
What is the plan?,not enough information,39053
What may be a valid fact about the anniversary ?,I am not excited to go out and have fun with it .,5921
When will North Korea receive sanction relief?,After it takes step to denuclearize,50233
Which of the following may be the best title of the passage?,"Starbucks,tile Coffee Giant",10661
What is the purpose of this advertisement?,To attract mobile users to buy Traffic TV service.,1468
What other methods of communication could they employ to communicate with them ?,Writing,46500
The purpose of this passage might be  _  .,to tell the result of a research on sleepy gene,43207
We can infer from the text that   _  .,people know more and more about animals,42927
What would the narrator do with a sudden windfall ?,They 'd give it to charity .,13470
What is most likely true about Malone:,He is in love with Becky.,44288
What is the reason this is called a rebound relationship ?,"It means that I am "" using "" this person to forget another .",14711
What may be the reason why they wear ugly shoes ?,Because they 're comfortable .,41009
It can be inferred from the passage that   _  .,Mrs. March was willing to help the poor and able to influence her daughters.,48064
How is it possible I can have so many symptoms and there is never anything   to report regarding my health ?,The doctors are n't competent to figure out all my symptoms and make a diagnosis .,16863
what is probably true about Kristen Clarke?,He loves peace,19805
What do all the hotels in the passage have in common?,They offer comfortable rooms.,20831
Which of the following is open at night?,Sky-walk in Sydney.,2680
"Assuming the narrator wrote this today , what month is it ?",It is September,33134
What did the United States impose a on?,Steel Imports,12504
What can be the best title for the passage?,The key secret to the success of ants,57
"According to the passage, people can live a long life with the help of  _  .",medical technology,58698
Who sang Hey Jealousy?,not enough information,3597
"According to the passage, we know that Matt Vongsykeo was   _  .",brave,3828
The first wife of Nelson Mandela is   _  .,Evelyn,8727
What can you assume to be true of the narrator ?,The recently lost weight .,26870
Azalea's music style was questioned because   _  .,People think her music is of too much black style,3413
"At the end of the story, Malone is:",At the French Market,1928
"According to the text, the teen travel programs can help you   _  .",experience the culture of another country,20638
What's the best title for this passage?,Brave swimmers swam together with a giant basking shark.,11829
Why might I have been hesitant to try the new dish ?,Oats are not typically savory .,25324
"The TV show Where Are We Going, Dad? is popular mainly because   _   .",it reflects the problems about family education,36422
Sandee winked at a tourist:,after emerging from the bathroom,12063
Who listened to the song before?,Father,45314
This reading is mainly about   _,the history of popular breakfast foods in the United States.,45426
What is the text mainly about?,A special fish living in freezing waters.,3151
The number of the deer in the Kaibab had increased enormously in  _  years' time.,18,38537
Which anti government group does not believe in paying taxes and that they should be able to decide which laws to follow?,sovereign citizens,45077
Why might I have been happy about it getting closer to BF ?,Black Friday is the kickoff to the holiday shopping season with huge sales .,36007
What might have happened during the event on stage ?,They interacted with the audience .,37931
Why do Wen and Ester love Hua Tenten so much ?,They are her parents .,28466
How much would these post cards cost to individually produce ?,50 cents,59256
What may be the reason for their poor health ?,They are exposed to a lot of toxic fumes at their job .,15239
Why does the narrator get nostalgic by ferns ?,It reminds them of their youth .,42642
Why were they looking for the aboriginal handprint ?,They were tourists curious about the area they were visiting .,29489
The purpose of the contest is to   _  .,celebrate a national fishing-related activity,28851
"62. To improve their reading ability, people should    _   .",have special help and practice,48423
From this passage we can find   _,divorce rates are quickly rising globally these years,51787
Why did I change the list ?,I got older and had more to do .,54356
What can we infer from the passage?,The author didn't expect Kyle to tell the story.,48931
Where was the ad for the grand opening?,radio,20360
What can be implied about the writer in the text ?,The writer just met some new friends .,16771
He never married because  _  .,he found it hard to make friends with girls,50371
What did the narrator do with their friends on the weekend ?,Watched a comedy show .,39155
The author of this article probably does what as a hobby?,Works out,55198
This article is written to give a report on   _  .,the results of a survey of college students,9974
"During the week, Jeremy Lin   _  .",helped his team win five games in a row,46235
when did Lisa become conscious again?,after she was back on the platform.,17504
What would an expat do if looking to buy a house in Dubai ?,They 'd contact an expert .,39500
"After the registration process, Krzycho Jedynak is:",Concerned but happy that his school is so popular.,39725
Why did the boss want his daughter to stay with the writer ?,Because he wanted his daughter to improve her English in this way,26039
What is the main idea of this passage?,Blended learning is an effective learning approach.,24190
"According to Paragraph 4 ,which is right ?         _   .",cloning means running the risk of wasting too much effort,41247
"To avoid attracting mountain lions, people are advised   _  .",to keep a close watch on their farm animals,23344
"At the restaurant, the lady  _",received good service,17184
What is likely to be a fact about the narrator .,She likes seafood .,8630
what happens after the celebration,everyone goes home,25373
"Toward the end of the story, the author seems to be impressed by Calment's   _  .",attitude,44311
What might be the next step we will take with our housekeeper ?,We will likely fire her for stealing our property .,1837
Why did she dress so scandalous ?,None of the above choices .,36165
What is the reason I felt fatter than I have before I started ?,I have been losing weight but the problem I have is a body image issue .,38777
Why does the narrator feel different than others in the class ?,The narrator is a brown person in an all white class .,57127
How long was the writer probably a school magazine publisher?,Throughout high school,38303
What can be inferred from the passage about the gray-haired day?,She suffers from Alzheimer's disease.,30314
The best title for the passage would be  _  .,Every day is A Gift,45089
Why did Brzezinski have a lasting impact?,because he was a superb public servant,1786
"According to the passage, the railroad played a significant role in literature in all of the following kinds of books except  _  .",important novels,43515
Why do I really want to be with him ?,Because I like him a lot .,7977
The writer writes the passage mainly to  _,introduce a new research finding,16084
When will the second band put their name on the board?,After the Triangulators play.,29853
The passage is mostly from a\an  _  .,magazine,31076
Which of the following statements is NOT true?,You can find out harmful additives on the packaging labels of food.,37022
"According to this passage,   _   are to blame for the childhood obesity.",high calorie snacks,17260
What may the narrator do after this conversation ?,Search for candles online .,49402
What is true of the man ?,He is a dream .,56048
Step 6 implies that the author   _  .,learned by heart by teaching,30807
Why does the writer believe that the author of the article is a hack job ?,Because he believes he is accusing Clinton of things without proof .,503
From this article we can learn the writer   _  .,thinks highly of those who are struggling or success,49329
The stranger believes that:,the fiddler is dead,11160
How does the narrator feel about what they did ?,They feel badly .,23271
Which of the following doesn't belong to the bad effect the sandstorms have done in Beijing?,People had three days off,17114
What kind of bus route is this?,A city bus that travels within Chicago or to very nearby areas,5060
What is the author's attitude towards the cars of tomorrow?,Supportive.,22468
Who can help you get to know the city of Ghent better with some offering picnics as you float through the city?,a knowledgeable driver or guide,41528
What does the speaker feel that the last week of classes may kill them ?,They are not at all looking forward to the tests that the last week of class entails and feel ill prepared,30209
Why might the sheriff be following them ?,He was suspicious,22124
What happened to Claudia in 1917?,Her mother died,20835
What should the residents of New Iberia do before the storm hits ?,None of the above choices .,23721
From the passage we can learn that some people are worried because  _  .,some expert has given a warning.,56080
Why did Christopher fused with his chair?,because he was sitting at his desk the entire time,25800
When did Kaine learn to speak fluent Spanish?,While working as a Jesuit Volunteer Corps in Honduras,59699
What state may the speaker be talking about ?,A meditative state .,30090
What is the best title of the passage?,The scars of Love,5684
Dorian and Cedric work in:,lab/hospital environment,18883
Mrs Turner was surprised because the tired man   _  .,said something that had nothing to do with her answer.,42302
What may be a fact about this person ?,They are a student at a school .,13900
From the passage we know that most American parents   _  .,think children's achievement largely depends on schools,50367
What would be the best title for the passage?,prefix = st1 /TokyoShows Eco Cars,53773
Why does the author want to go to Italy again?,He had a great time there.,31558
The ratings are not important for golf and tennis programs because  _,their advertisers target at rich people,17227
What's the best title for the passage?,A Fun Game,18974
What does the narrator think about the infrastructure in his neighborhood?,It is substandard and poorly planned,1843
Which statement best describes the main idea of the passage?,It gives useful advice on how to choose and maintain a freezer.,44099
What was the young lady?,Xray tech,25599
Jesse Owens was well-known around the world mainly because he_.,was brave enough to race in front of Adolf Hitler,54785
Was it a risky decision,It was risky because it was the last of our money,44131
What is the main idea of the passage?,Technology is an opportunity and a challenge for traditional reading.,37251
After seeing the man who apologized and bought them beers on stage giving them a shot out made the roommates feel what way?,They probably felt ashamed and surprised.,6192
How many coal fires are there in the world?,There are 260,44631
"When the car accident happened, the author   _  .",had finished his high school education,35375
